代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000040	东旭蓝天	-0.40	12.51	-0.05	12.51	12.55	20	20	0.00	          0.00	12.51	12.51	12.51	12.56	    95.38	25020	  0.24	全国地产	深圳	0.00	12.51	10	
000050	深天马Ａ	--  	18.82	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	18.82	    46.33	0	  0.00	元器件	深圳	0.00	18.82	0	
000166	申万宏源	0.16	6.31	0.01	6.30	6.31	1668	1668	0.00	          0.00	6.31	6.31	6.31	6.30	    24.66	1052508	  1.36	证券	新疆	0.00	6.31	834	
000422	湖北宜化	-0.14	7.04	-0.01	7.03	7.04	81	81	0.00	          0.00	7.04	7.04	7.04	7.05	   258.04	57024	  0.14	农药化肥	湖北	0.00	7.04	41	
000425	徐工机械	-0.50	4.00	-0.02	4.00	4.01	2323	2323	0.00	          0.00	4.00	4.00	4.00	4.02	   127.13	929200	  0.74	工程机械	江苏	0.00	4.00	1162	
000503	海虹控股	0.36	41.93	0.15	41.80	41.93	137	137	0.00	          0.00	41.93	41.93	41.93	41.78	--  	574441	  0.87	医疗保健	海南	0.00	41.93	69	
000547	航天发展	0.00	15.57	0.00	15.57	15.60	152	152	0.00	          0.00	15.57	15.57	15.57	15.57	   112.43	236664	  0.23	通信设备	福建	0.00	15.57	76	
000553	沙隆达Ａ	0.00	14.95	0.00	14.95	14.96	19	19	0.00	          0.00	14.95	14.95	14.95	14.95	   324.85	28405	  0.07	农药化肥	湖北	0.00	14.95	10	
000560	昆百大Ａ	--  	10.40	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	10.40	   148.21	0	  0.00	百货	云南	0.00	10.40	0	
000563	陕国投Ａ	-0.15	6.62	-0.01	6.61	6.62	1020	1020	0.00	          0.00	6.62	6.62	6.62	6.63	    39.71	675240	  0.39	多元金融	陕西	0.00	6.62	510	
000565	渝三峡Ａ	-0.63	12.54	-0.08	12.53	12.54	298	298	0.00	          0.01	12.54	12.54	12.54	12.62	    24.33	373692	  0.63	染料涂料	重庆	0.00	12.54	149	
000576	广东甘化	0.38	15.80	0.06	15.74	15.80	40	40	0.00	          0.00	15.80	15.80	15.80	15.74	    68.33	63200	  0.18	造纸	广东	0.00	15.80	20	
000639	西王食品	0.00	23.73	0.00	23.73	23.77	81	81	0.00	          0.00	23.73	23.73	23.73	23.73	    69.53	192213	  0.84	食品	山东	0.00	23.73	41	
000667	美好置业	-0.53	3.75	-0.02	3.75	3.76	1746	1746	0.00	          0.01	3.75	3.75	3.75	3.77	    14.44	654750	  2.48	全国地产	云南	0.00	3.75	873	
000707	双环科技	-0.69	8.67	-0.06	8.67	8.68	230	230	0.00	          0.00	8.67	8.67	8.67	8.73	--  	199427	  0.55	化工原料	湖北	0.00	8.67	115	
000710	*ST天仪	5.00	55.63	2.65	55.63	--  	6804	6804	0.00	          0.45	55.63	55.63	55.63	52.98	--  	37850652	 31.65	汽车配件	四川	0.00	55.63	3402	
000711	京蓝科技	3.45	30.30	1.01	30.30	30.32	2964	2964	0.00	          0.18	30.30	30.30	30.30	29.29	--  	8980920	 13.06	软件服务	黑龙江	0.00	30.30	1482	
000720	新能泰山	-0.16	6.42	-0.01	6.42	6.43	115	115	0.00	          0.00	6.42	6.42	6.42	6.43	--  	73830	  0.50	火力发电	山东	0.00	6.42	58	
000797	中国武夷	0.16	18.83	0.03	18.83	18.84	77	77	0.00	          0.00	18.83	18.83	18.83	18.80	   553.39	145010	  0.58	全国地产	福建	0.00	18.83	39	
000803	金宇车城	--  	20.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	20.60	--  	0	  0.00	纺织	四川	0.00	20.60	0	
000859	国风塑业	-0.57	6.96	-0.04	6.96	6.97	7116	7116	0.00	          0.10	6.96	6.96	6.96	7.00	   280.35	4952736	  1.82	塑料	安徽	0.00	6.96	3558	
000868	安凯客车	0.14	7.02	0.01	7.01	7.02	124	124	0.00	          0.00	7.02	7.02	7.02	7.01	   142.02	87048	  0.37	汽车整车	安徽	0.00	7.02	62	
000877	天山股份	-0.35	14.20	-0.05	14.20	14.21	6956	6956	0.00	          0.08	14.20	14.20	14.20	14.25	  2165.78	9877520	  1.43	水泥	新疆	0.00	14.20	3478	
000878	云南铜业	0.06	15.59	0.01	15.58	15.59	3993	3993	0.00	          0.03	15.59	15.59	15.59	15.58	   371.79	6225087	  2.41	铜	云南	0.00	15.59	1997	
000903	云内动力	--  	8.76	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	8.76	    38.01	0	  0.00	机械基件	云南	0.00	8.76	0	
000923	河北宣工	0.00	21.77	0.00	21.65	21.77	111	111	0.00	          0.01	21.77	21.77	21.77	21.77	--  	241647	  0.37	工程机械	河北	0.00	21.77	56	
000975	银泰资源	0.25	15.80	0.04	15.78	15.80	463	463	0.00	          0.01	15.80	15.80	15.80	15.76	    77.81	731540	  1.55	铅锌	内蒙	0.00	15.80	232	
000987	越秀金控	-0.07	13.80	-0.01	13.76	13.80	42	42	0.00	          0.00	13.80	13.80	13.80	13.81	    60.19	57960	  0.22	多元金融	广东	0.00	13.80	21	
002001	新 和 成	-0.05	19.94	-0.01	19.90	19.94	40	40	0.00	          0.00	19.94	19.94	19.94	19.95	    19.26	79760	  0.13	化学制药	浙江	0.00	19.94	20	
002034	美 欣 达	--  	55.51	--  	55.20	55.52	0	0	--  	          0.00	--  	--  	--  	55.51	   286.00	0	  0.00	纺织	浙江	0.00	55.51	0	
002045	国光电器	-0.29	13.80	-0.04	13.80	13.87	284	284	0.00	          0.01	13.80	13.80	13.80	13.84	   132.63	391920	  0.46	元器件	广东	0.00	13.80	142	
002048	宁波华翔	-0.17	23.76	-0.04	23.73	23.76	62	62	0.00	          0.00	23.76	23.76	23.76	23.80	    20.60	147312	  0.20	汽车配件	浙江	0.00	23.76	31	
002055	得润电子	6.21	25.50	1.49	25.50	25.53	12417	12417	0.00	          0.31	25.50	25.50	25.50	24.01	   112.63	31663988	 29.71	元器件	深圳	0.00	25.50	6209	
002062	宏润建设	0.46	6.62	0.03	6.62	6.65	46	46	0.00	          0.00	6.62	6.62	6.62	6.59	    34.40	30717	  0.12	建筑施工	浙江	0.00	6.62	23	
002071	长城影视	0.00	12.93	0.00	12.93	12.94	101	101	0.00	          0.00	12.93	12.93	12.93	12.93	    46.14	130593	  0.48	影视音像	江苏	0.00	12.93	51	
002074	国轩高科	0.06	34.06	0.02	34.05	34.06	407	407	0.00	          0.01	34.06	34.06	34.06	34.04	    30.40	1386242	  0.73	电气设备	江苏	0.00	34.06	204	
002078	太阳纸业	0.00	7.33	0.00	7.32	7.33	128	128	0.00	          0.00	7.33	7.33	7.33	7.33	    21.21	93824	  0.12	造纸	山东	0.00	7.33	64	
002086	东方海洋	-0.19	10.60	-0.02	10.55	10.60	46	46	0.00	          0.00	10.60	10.60	10.60	10.62	    95.14	48760	  0.23	渔业	山东	0.00	10.60	23	
002092	中泰化学	-0.23	12.88	-0.03	12.88	12.89	248	248	0.00	          0.00	12.88	12.88	12.88	12.91	    29.09	319424	  0.33	化工原料	新疆	0.00	12.88	124	
002094	青岛金王	0.00	27.87	0.00	27.87	27.90	6	6	0.00	          0.00	27.87	27.87	27.87	27.87	    68.70	16722	  0.06	日用化工	山东	0.00	27.87	3	
002099	海翔药业	-0.12	8.19	-0.01	8.16	8.19	115	115	0.00	          0.00	8.19	8.19	8.19	8.20	    22.96	94185	  0.42	化学制药	浙江	0.00	8.19	58	
002100	天康生物	0.11	9.22	0.01	9.21	9.22	240	240	0.00	          0.00	9.22	9.22	9.22	9.21	    20.89	221280	  1.13	饲料	新疆	0.00	9.22	120	
002161	远 望 谷	0.09	10.84	0.01	10.84	10.85	191	191	0.00	          0.00	10.84	10.84	10.84	10.83	--  	207044	  0.95	通信设备	深圳	0.00	10.84	96	
002165	红 宝 丽	0.13	7.88	0.01	7.88	7.89	36	36	0.00	          0.00	7.88	7.88	7.88	7.87	    47.76	28368	  0.16	化工原料	江苏	0.00	7.88	18	
002167	东方锆业	0.00	12.63	0.00	12.63	12.65	488	488	0.00	          0.01	12.63	12.63	12.63	12.63	  1948.17	616344	  0.66	小金属	广东	0.00	12.63	244	
002175	东方网络	--  	16.38	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	16.38	   380.06	0	  0.00	电器仪表	广西	0.00	16.38	0	
002176	江特电机	-0.16	12.24	-0.02	12.23	12.24	249	249	0.00	          0.00	12.24	12.24	12.24	12.26	    91.15	304776	  0.24	电气设备	江西	0.00	12.24	125	
002226	江南化工	-0.54	9.25	-0.05	9.25	9.26	1435	1435	0.00	          0.02	9.25	9.25	9.25	9.30	    99.94	1327375	  1.00	化工原料	安徽	0.00	9.25	718	
002239	奥特佳	-0.21	14.10	-0.03	14.10	14.11	144	144	0.00	          0.00	14.10	14.10	14.10	14.13	    43.70	203040	  0.46	汽车配件	江苏	0.00	14.10	72	
002267	陕天然气	0.00	9.61	0.00	9.61	9.62	65	65	0.00	          0.00	9.61	9.61	9.61	9.61	    19.38	62561	  0.39	供气供热	陕西	0.00	9.61	33	
002273	水晶光电	0.49	22.38	0.11	22.38	22.39	322	322	0.00	          0.01	22.38	22.38	22.38	22.27	    65.58	720636	  0.41	元器件	浙江	0.00	22.38	161	
002297	博云新材	0.38	13.34	0.05	13.33	13.34	395	395	0.00	          0.01	13.34	13.34	13.34	13.29	--  	526930	  0.60	矿物制品	湖南	0.00	13.34	198	
002303	美盈森	0.21	9.75	0.02	9.75	9.76	166	166	0.00	          0.00	9.75	9.75	9.75	9.73	    53.25	161850	  0.57	造纸	深圳	0.00	9.75	83	
002318	久立特材	0.00	10.07	0.00	10.06	10.07	79	79	0.00	          0.00	10.07	10.07	10.07	10.07	    59.38	79553	  0.22	特种钢	浙江	0.00	10.07	40	
002340	格林美	-0.59	8.43	-0.05	8.43	8.44	2774	2774	0.00	          0.01	8.43	8.43	8.43	8.48	    93.56	2338701	  0.37	小金属	深圳	0.00	8.43	1387	
002355	兴民智通	1.11	15.50	0.17	15.50	15.53	6783	6783	0.00	          0.20	15.50	15.50	15.50	15.33	   156.69	10513743	 11.36	汽车配件	山东	0.00	15.50	3392	
002376	新北洋	-0.07	13.55	-0.01	13.51	13.55	116	116	0.00	          0.00	13.55	13.55	13.55	13.56	    46.32	157180	  0.44	电脑设备	山东	0.00	13.55	58	
002377	国创高新	-0.10	10.16	-0.01	10.15	10.16	135	135	0.00	          0.00	10.16	10.16	10.16	10.17	  1069.38	137160	  0.18	石油加工	湖北	0.00	10.16	68	
002383	合众思壮	--  	49.60	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	49.60	   799.04	0	  0.00	通信设备	北京	0.00	49.60	0	
002386	天原集团	-0.11	8.79	-0.01	8.79	8.83	8	8	0.00	          0.00	8.79	8.79	8.79	8.80	   107.08	7032	  0.02	化工原料	四川	0.00	8.79	4	
002387	黑牛食品	0.79	17.83	0.14	17.80	17.83	119	119	0.00	          0.00	17.83	17.83	17.83	17.69	   131.26	212177	  0.56	软饮料	广东	0.00	17.83	60	
002389	南洋科技	-1.09	22.68	-0.25	22.68	22.69	1258	1258	0.00	          0.02	22.68	22.68	22.68	22.93	   122.56	2853144	  1.26	元器件	浙江	0.00	22.68	629	
