代码	名称	涨幅%%	现价	涨跌	买价	卖价	总量	现量	涨速%%	换手%%	今开	最高	最低	昨收	市盈(动)	总金额	量比	细分行业	地区	振幅%%	均价	内盘	
000150	宜华健康	0.21	28.52	0.06	28.51	28.52	98	98	0.00	          0.00	28.52	28.52	28.52	28.46	     9.91	279496	  0.71	医疗保健	广东	0.00	28.52	49	
000333	美的集团	0.12	33.94	0.04	33.93	33.94	1188	1188	0.00	          0.00	33.94	33.94	33.94	33.90	    12.77	4032072	  0.79	家用电器	广东	0.00	33.94	594	
000540	中天城投	1.04	6.77	0.07	6.77	6.78	4902	4902	0.00	          0.01	6.77	6.77	6.77	6.70	    11.62	3318932	  5.07	区域地产	贵州	0.00	6.77	2451	
000625	长安汽车	0.51	15.70	0.08	15.70	15.71	3473	3473	0.00	          0.01	15.70	15.70	15.70	15.62	     7.31	5452610	  1.99	汽车整车	重庆	0.00	15.70	1737	
000651	格力电器	0.03	28.88	0.01	28.88	28.89	2880	2879	0.00	          0.00	28.88	28.88	28.88	28.87	    11.60	8316776	  0.95	家用电器	广东	0.00	28.88	1440	
000848	承德露露	-0.09	11.24	-0.01	11.23	11.24	77	77	0.00	          0.00	11.24	11.24	11.24	11.25	    22.66	86548	  0.34	软饮料	河北	0.00	11.24	39	
000863	三湘印象	0.11	8.89	0.01	8.85	8.89	30	30	0.00	          0.00	8.89	8.89	8.89	8.88	    20.52	26670	  0.14	区域地产	上海	0.00	8.89	15	
000895	双汇发展	-0.18	21.75	-0.04	21.73	21.75	176	176	0.00	          0.00	21.75	21.75	21.75	21.79	    16.42	382800	  0.52	食品	河南	0.00	21.75	88	
000957	中通客车	-0.06	16.38	-0.01	16.35	16.38	273	273	0.00	          0.01	16.38	16.38	16.38	16.39	    16.00	447174	  0.50	汽车整车	山东	0.00	16.38	137	
000963	华东医药	0.06	83.45	0.05	83.45	83.63	30	30	0.00	          0.00	83.45	83.45	83.45	83.40	    28.04	250350	  0.17	化学制药	浙江	0.00	83.45	15	
002019	亿帆医药	0.00	16.73	0.00	16.73	16.77	84	84	0.00	          0.00	16.73	16.73	16.73	16.73	    25.74	140532	  0.14	化学制药	浙江	0.00	16.73	42	
002074	国轩高科	0.06	34.06	0.02	34.05	34.06	407	407	0.00	          0.01	34.06	34.06	34.06	34.04	    30.40	1386242	  0.73	电气设备	江苏	0.00	34.06	204	
002085	万丰奥威	0.00	19.28	0.00	19.28	19.30	35	35	0.00	          0.00	19.28	19.28	19.28	19.28	    37.18	67480	  0.19	汽车配件	浙江	0.00	19.28	18	
002108	沧州明珠	-0.13	23.30	-0.03	23.28	23.30	335	335	0.00	          0.01	23.30	23.30	23.30	23.33	    28.96	780550	  0.41	塑料	河北	0.00	23.30	168	
002110	三钢闽光	0.30	13.50	0.04	13.50	13.53	276	276	0.00	          0.01	13.50	13.50	13.50	13.46	    26.57	372600	  0.59	普钢	福建	0.00	13.50	138	
002124	天邦股份	0.68	11.80	0.08	11.79	11.80	354	354	0.00	          0.01	11.80	11.80	11.80	11.72	    16.50	417720	  1.36	饲料	浙江	0.00	11.80	177	
002143	印纪传媒	--  	38.20	--  	--  	--  	0	0	--  	          0.00	--  	--  	--  	38.20	    80.02	0	  0.00	影视音像	四川	0.00	38.20	0	
002157	正邦科技	0.00	6.28	0.00	6.27	6.28	399	399	0.00	          0.00	6.28	6.28	6.28	6.28	    11.91	250572	  0.75	饲料	江西	0.00	6.28	200	
002180	艾派克	-0.21	28.49	-0.06	28.36	28.49	6	6	0.00	          0.00	28.49	28.49	28.49	28.55	    84.07	17094	  0.05	电脑设备	广东	0.00	28.49	3	
002223	鱼跃医疗	-0.25	31.37	-0.08	31.37	31.39	52	52	0.00	          0.00	31.37	31.37	31.37	31.45	    36.40	163124	  0.47	医疗保健	江苏	0.00	31.37	26	
002234	民和股份	0.15	20.11	0.03	20.10	20.11	214	214	0.00	          0.01	20.11	20.11	20.11	20.08	    18.23	430354	  0.45	农业综合	山东	0.00	20.11	107	
002294	信立泰	-0.07	28.25	-0.02	28.23	28.25	66	66	0.00	          0.00	28.25	28.25	28.25	28.27	    21.32	186450	  0.58	化学制药	深圳	0.00	28.25	33	
002304	洋河股份	0.43	86.68	0.37	86.35	86.68	25	25	0.00	          0.00	86.68	86.68	86.68	86.31	    20.25	216700	  0.17	白酒	江苏	0.00	86.68	13	
002366	台海核电	0.04	47.76	0.02	47.76	47.89	37	37	0.00	          0.00	47.76	47.76	47.76	47.74	    43.90	176712	  0.36	专用机械	四川	0.00	47.76	19	
002407	多氟多	-0.09	31.59	-0.03	31.58	31.59	1029	1029	0.00	          0.02	31.59	31.59	31.59	31.62	    38.37	3250611	  0.54	化工原料	河南	0.00	31.59	515	
002415	海康威视	0.07	30.20	0.02	30.20	30.22	246	245	0.00	          0.00	30.20	30.20	30.20	30.18	    28.74	742890	  0.37	电器仪表	浙江	0.00	30.20	123	
002458	益生股份	1.07	32.22	0.34	32.20	32.22	583	583	0.00	          0.04	32.22	32.22	32.22	31.88	    15.96	1878426	  1.91	农业综合	山东	0.00	32.22	292	
002460	赣锋锂业	-0.77	37.41	-0.29	37.40	37.41	2617	2617	0.00	          0.05	37.41	37.41	37.41	37.70	    43.47	9790197	  0.94	小金属	江西	0.00	37.41	1309	
002466	天齐锂业	0.15	39.70	0.06	39.70	39.72	739	739	0.00	          0.01	39.70	39.70	39.70	39.64	    24.60	2933830	  0.45	小金属	四川	0.00	39.70	370	
002504	弘高创意	-0.12	8.01	-0.01	8.00	8.01	147	147	0.00	          0.00	8.01	8.01	8.01	8.02	    27.43	117747	  0.54	装修装饰	北京	0.00	8.01	74	
002508	老板电器	0.68	45.71	0.31	45.55	45.71	109	109	0.00	          0.00	45.71	45.71	45.71	45.40	    35.69	498239	  0.45	家用电器	浙江	0.00	45.71	55	
002517	恺英网络	-0.22	31.75	-0.07	31.65	31.75	27	27	0.00	          0.00	31.75	31.75	31.75	31.82	    39.56	85725	  0.47	互联网	福建	0.00	31.75	14	
002555	三七互娱	1.14	21.26	0.24	21.15	21.26	428	428	0.00	          0.01	21.26	21.26	21.26	21.02	    44.19	909928	  0.85	互联网	安徽	0.00	21.26	214	
002558	世纪游轮	0.00	80.23	0.00	80.00	80.23	29	29	0.00	          0.00	80.23	80.23	80.23	80.23	   127.43	232667	  0.33	旅游服务	重庆	0.00	80.23	15	
002595	豪迈科技	0.12	25.30	0.03	25.27	25.30	20	20	0.00	          0.00	25.30	25.30	25.30	25.27	    26.83	50600	  0.25	专用机械	山东	0.00	25.30	10	
002701	奥瑞金	0.12	8.70	0.01	8.70	8.71	187	187	0.00	          0.00	8.70	8.70	8.70	8.69	    15.02	162690	  0.29	广告包装	北京	0.00	8.70	94	
